data_size,operation,min,max,avg,median
10,insert_entities_batch,0.0007102999952621758,0.009561100014252588,0.00253064000280574,0.0007997999782674015
10,insert_entities_batch_simple,0.0005039999959990382,0.0007273000082932413,0.000589100003708154,0.0005459999956656247
10,fetch_anime_simple,0.00045190000673756003,0.0008123000152409077,0.0005295500013744459,0.0005158000130904838
10,fetch_anime_with_relations,0.00040049999370239675,0.0008422999817412347,0.0005040400021243841,0.0004960000078426674
10,insert_anime_simple,0.00038430001586675644,0.0004927999980282038,0.00041648000478744507,0.00039610001840628684
10,insert_anime_with_relations,0.0003662999952211976,0.000444800010882318,0.0003974399995058775,0.00037689998862333596
10,delete_anime_simple,0.0005658000009134412,0.0006152999994810671,0.0005838599987328053,0.0005682999908458441
10,delete_anime_with_relations,0.0005692999984603375,0.0006193000008352101,0.0005875600036233664,0.0005721999914385378
100,insert_entities_batch,0.0028372000087983906,0.0031322000140789896,0.00302336000604555,0.003053299995372072
100,insert_entities_batch_simple,0.0015124999918043613,0.0023802000214345753,0.0017782600014470517,0.0016662999987602234
100,fetch_anime_simple,0.0004634000069927424,0.001066299999365583,0.0007344599987845867,0.0007067999977152795
100,fetch_anime_with_relations,0.0003968999953940511,0.001828099979320541,0.0010426599998027085,0.0009902999881887808
100,insert_anime_simple,0.0004107999848201871,0.0005890999746043235,0.0004941799852531403,0.00048149999929592013
100,insert_anime_with_relations,0.00035020001814700663,0.0004845999937970191,0.0003974399936851114,0.00038240000139921904
100,delete_anime_simple,0.0015933999966364354,0.0017528000171296299,0.0016349199984688311,0.00160749998758547
100,delete_anime_with_relations,0.0015970999957062304,0.0017570999916642904,0.0016388999996706844,0.0016115999897010624
1000,insert_entities_batch,0.023711899993941188,0.02758289998746477,0.02480439999490045,0.02433220000239089
1000,insert_entities_batch_simple,0.011034700000891462,0.011980100010987371,0.011393819999648258,0.011271499999566004
1000,fetch_anime_simple,0.0004921999934595078,0.013800999993691221,0.003930279996711761,0.0030514499958371744
1000,fetch_anime_with_relations,0.0003981000045314431,0.014392799988854676,0.006824319995939731,0.0063506499864161015
1000,insert_anime_simple,0.0004796000139322132,0.0007303000020328909,0.0005952599924057723,0.0005970999773126096
1000,insert_anime_with_relations,0.00042799999937415123,0.000907599984202534,0.0006116199889220298,0.0005590999790001661
1000,delete_anime_simple,0.011389599996618927,0.011846300010802224,0.01169462000252679,0.011794499994721264
1000,delete_anime_with_relations,0.011394700006349012,0.01185130001977086,0.011699960008263588,0.011799900006735697
10000,insert_entities_batch,0.3014903999865055,0.3639477000106126,0.3228497800009791,0.31320509998477064
10000,insert_entities_batch_simple,0.10809109997353517,0.12354689999483526,0.11685885999468155,0.11730450001778081
10000,fetch_anime_simple,0.0004470999992918223,0.04312220000429079,0.019826129998546094,0.01911495000240393
10000,fetch_anime_with_relations,0.00034070000401698053,0.22356099999160506,0.0928284400026314,0.08023115001560654
10000,insert_anime_simple,0.0005579999997280538,0.0007701999857090414,0.0006384799955412746,0.0005777000042144209
10000,insert_anime_with_relations,0.00029219998396001756,0.0006078000005800277,0.000487579993205145,0.0005028999876230955
10000,delete_anime_simple,0.11029409998445772,0.11720979999518022,0.11328151999623515,0.11100889998488128
10000,delete_anime_with_relations,0.11029889999190345,0.11721500000567175,0.11328664000029676,0.11101449999841861
